Sale_ID,Brand,Model,Country,Storage,Color,Price_USD,Units_Sold,Revenue_USD,Customer_Rating,Payment_Method,Sale_Month,Sale_Year
284,Realme,Realme Model 7,Canada,128GB,Gold,1298,13,16874,4.3,Cash,6,2025
285,Huawei,Huawei Model 4,Australia,256GB,Green,667,9,6003,3.6,Cash,2,2025
286,Samsung,Samsung Model 7,Germany,512GB,Blue,1446,13,18798,3.6,Debit Card,2,2025
287,Huawei,Huawei Model 13,USA,256GB,White,390,9,3510,4.9,Online Payment,5,2025
288,Xiaomi,Xiaomi Model 15,Australia,256GB,Gold,1162,15,17430,5.0,Installments,2,2025
289,Samsung,Samsung Model 7,France,128GB,White,345,13,4485,4.2,Installments,8,2025
290,Oppo,Oppo Model 19,UK,64GB,White,1022,19,19418,4.2,Credit Card,5,2025
291,OnePlus,OnePlus Model 1,India,64GB,White,621,15,9315,3.1,Credit Card,9,2025
292,Oppo,Oppo Model 14,India,128GB,Green,1073,11,11803,4.6,Online Payment,8,2025
293,Google,Google Model 15,Saudi Arabia,64GB,Silver,488,7,3416,3.1,Credit Card,3,2025
294,Huawei,Huawei Model 12,USA,64GB,Green,1257,3,3771,3.3,Cash,7,2025
295,Motorola,Motorola Model 5,UAE,64GB,Silver,402,12,4824,4.2,Online Payment,6,2025
296,Samsung,Samsung Model 4,UAE,64GB,White,709,18,12762,4.9,Installments,1,2025
297,Vivo,Vivo Model 5,Saudi Arabia,128GB,Black,738,18,13284,3.7,Cash,8,2025
298,Oppo,Oppo Model 4,India,64GB,Black,682,7,4774,3.3,Online Payment,12,2025
299,Google,Google Model 3,India,64GB,Green,835,15,12525,5.0,Cash,4,2025
300,OnePlus,OnePlus Model 20,UAE,128GB,Silver,1089,13,14157,4.8,Debit Card,5,2025
301,Xiaomi,Xiaomi Model 12,India,256GB,Green,1255,19,23845,4.6,Online Payment,4,2025
302,Google,Google Model 9,India,256GB,Green,617,12,7404,4.8,Credit Card,5,2025
303,OnePlus,OnePlus Model 18,Pakistan,64GB,Blue,928,18,16704,4.6,Installments,8,2025
304,Huawei,Huawei Model 14,USA,256GB,Green,713,2,1426,4.3,Installments,9,2025
305,Samsung,Samsung Model 3,Australia,256GB,Gold,797,4,3188,4.3,Credit Card,10,2025
306,Google,Google Model 6,UK,256GB,Silver,480,18,8640,5.0,Debit Card,9,2025
307,Samsung,Samsung Model 19,Australia,64GB,Silver,1384,12,16608,4.4,Installments,4,2025
308,Realme,Realme Model 7,France,64GB,Black,1113,9,10017,5.0,Debit Card,5,2025
309,Huawei,Huawei Model 18,USA,256GB,Blue,1071,13,13923,4.6,Online Payment,10,2025
310,Motorola,Motorola Model 20,Australia,128GB,Green,1065,8,8520,4.6,Online Payment,6,2025
311,Google,Google Model 12,UK,64GB,Gold,1058,4,4232,4.5,Debit Card,2,2025
312,Xiaomi,Xiaomi Model 2,Saudi Arabia,64GB,White,1407,2,2814,3.1,Cash,11,2025
313,Samsung,Samsung Model 7,Canada,128GB,Black,374,18,6732,3.9,Credit Card,11,2025
314,Motorola,Motorola Model 13,UAE,256GB,Gold,1101,2,2202,4.0,Online Payment,1,2025
315,Apple,Apple Model 13,France,512GB,White,1040,12,12480,3.8,Credit Card,8,2025
316,Motorola,Motorola Model 18,UK,256GB,Black,539,1,539,3.7,Online Payment,10,2025
317,Motorola,Motorola Model 10,Germany,64GB,Gold,909,17,15453,4.9,Cash,12,2025
318,Vivo,Vivo Model 15,USA,128GB,Gold,500,10,5000,3.2,Debit Card,2,2025
319,Oppo,Oppo Model 15,France,64GB,Silver,613,13,7969,3.1,Cash,8,2025
320,Motorola,Motorola Model 4,France,512GB,Black,1031,16,16496,4.7,Installments,5,2025
321,Motorola,Motorola Model 2,Pakistan,512GB,Green,645,8,5160,3.5,Credit Card,5,2025
322,Huawei,Huawei Model 9,USA,512GB,Silver,302,1,302,4.3,Online Payment,4,2025
323,OnePlus,OnePlus Model 11,Saudi Arabia,128GB,Green,560,8,4480,4.9,Online Payment,4,2025
324,Vivo,Vivo Model 19,Australia,128GB,Blue,452,20,9040,3.6,Credit Card,7,2025
325,Google,Google Model 20,USA,256GB,Blue,486,8,3888,3.9,Cash,6,2025
326,Oppo,Oppo Model 19,USA,512GB,White,857,10,8570,5.0,Cash,1,2025
327,Google,Google Model 10,India,512GB,Blue,1483,20,29660,3.8,Debit Card,1,2025
328,Xiaomi,Xiaomi Model 15,Pakistan,512GB,Silver,895,11,9845,4.6,Debit Card,1,2025
329,Oppo,Oppo Model 3,UK,64GB,Gold,1215,6,7290,4.6,Debit Card,6,2025
330,Huawei,Huawei Model 18,Australia,512GB,Gold,775,10,7750,3.8,Cash,4,2025
331,Realme,Realme Model 2,USA,256GB,Silver,572,3,1716,4.3,Cash,3,2025
332,Samsung,Samsung Model 20,Pakistan,64GB,White,757,12,9084,3.0,Installments,12,2025
333,Vivo,Vivo Model 10,France,512GB,Gold,967,9,8703,3.7,Credit Card,8,2025
334,Motorola,Motorola Model 9,UAE,512GB,Blue,320,8,2560,3.3,Debit Card,3,2025
335,Realme,Realme Model 2,Germany,512GB,Silver,562,18,10116,5.0,Online Payment,1,2025
336,OnePlus,OnePlus Model 6,Germany,64GB,Silver,1068,12,12816,3.8,Credit Card,5,2025
337,Motorola,Motorola Model 2,USA,512GB,Silver,1019,6,6114,3.3,Debit Card,11,2025
338,Realme,Realme Model 17,USA,512GB,Silver,592,7,4144,3.9,Installments,3,2025
339,Xiaomi,Xiaomi Model 11,Germany,64GB,Black,1437,5,7185,4.0,Installments,11,2025
340,Apple,Apple Model 19,UK,128GB,White,1236,13,16068,4.6,Installments,6,2025
341,Huawei,Huawei Model 2,India,128GB,Silver,1085,20,21700,3.8,Credit Card,2,2025
342,OnePlus,OnePlus Model 16,UAE,512GB,Green,1270,2,2540,3.4,Debit Card,1,2025
343,Apple,Apple Model 3,Australia,256GB,Blue,422,18,7596,3.6,Credit Card,9,2025
344,Motorola,Motorola Model 7,Germany,128GB,White,1464,19,27816,3.8,Online Payment,2,2025
345,Apple,Apple Model 15,Australia,128GB,Silver,1160,7,8120,3.8,Debit Card,4,2025
346,Huawei,Huawei Model 7,Australia,256GB,Blue,812,3,2436,3.2,Credit Card,3,2025
347,Motorola,Motorola Model 14,UK,128GB,White,528,20,10560,3.4,Installments,8,2025
348,Apple,Apple Model 20,India,64GB,Blue,577,3,1731,3.2,Cash,6,2025
349,Google,Google Model 13,USA,256GB,Blue,1059,1,1059,3.1,Debit Card,12,2025
350,Motorola,Motorola Model 19,Pakistan,64GB,Black,1156,8,9248,3.7,Installments,3,2025
351,Huawei,Huawei Model 12,Saudi Arabia,256GB,Gold,1476,18,26568,4.0,Debit Card,4,2025
352,OnePlus,OnePlus Model 7,UK,128GB,Black,1481,12,17772,3.1,Installments,10,2025
353,Google,Google Model 5,France,512GB,Silver,902,19,17138,4.7,Cash,3,2025
354,Google,Google Model 18,UK,128GB,Blue,1412,5,7060,3.8,Installments,2,2025
355,Xiaomi,Xiaomi Model 17,USA,128GB,Green,416,15,6240,3.0,Online Payment,3,2025
356,Samsung,Samsung Model 20,UAE,128GB,Silver,1271,18,22878,5.0,Debit Card,12,2025
357,Vivo,Vivo Model 12,France,64GB,Green,431,1,431,4.8,Online Payment,4,2025
358,Apple,Apple Model 3,UK,64GB,White,826,9,7434,3.5,Installments,4,2025
359,Vivo,Vivo Model 1,Canada,256GB,Silver,726,1,726,4.7,Online Payment,9,2025
360,Motorola,Motorola Model 13,India,256GB,Blue,723,7,5061,3.6,Credit Card,5,2025
361,Vivo,Vivo Model 17,Pakistan,512GB,White,940,18,16920,4.1,Cash,9,2025
362,Huawei,Huawei Model 9,Germany,256GB,Black,1036,19,19684,4.5,Installments,11,2025
363,Huawei,Huawei Model 6,Australia,128GB,Green,1252,19,23788,3.4,Credit Card,3,2025
364,Vivo,Vivo Model 13,Germany,64GB,White,1254,16,20064,4.9,Cash,7,2025
365,Motorola,Motorola Model 12,UAE,256GB,Green,843,8,6744,3.3,Credit Card,7,2025
366,Motorola,Motorola Model 20,India,256GB,Blue,1406,9,12654,4.6,Online Payment,11,2025
367,Vivo,Vivo Model 17,USA,256GB,Green,399,9,3591,4.6,Installments,7,2025
368,Google,Google Model 20,UAE,64GB,Green,1184,4,4736,4.1,Debit Card,3,2025
369,Samsung,Samsung Model 5,UK,256GB,Black,715,4,2860,4.6,Debit Card,8,2025
370,Vivo,Vivo Model 7,UK,128GB,Gold,1310,1,1310,4.2,Cash,8,2025
371,OnePlus,OnePlus Model 11,France,512GB,Blue,552,8,4416,3.8,Debit Card,6,2025
372,Google,Google Model 17,UK,64GB,Gold,1284,17,21828,3.6,Online Payment,9,2025
373,Google,Google Model 16,USA,64GB,Gold,1026,3,3078,3.5,Installments,6,2025
374,Realme,Realme Model 11,France,256GB,Gold,991,15,14865,4.5,Credit Card,4,2025
375,Huawei,Huawei Model 19,India,256GB,White,1372,20,27440,4.5,Cash,12,2025
376,Motorola,Motorola Model 14,Pakistan,128GB,Blue,1423,9,12807,4.3,Credit Card,9,2025
377,Xiaomi,Xiaomi Model 16,Australia,128GB,Blue,644,19,12236,4.2,Cash,9,2025
378,Samsung,Samsung Model 18,USA,256GB,Silver,1197,5,5985,3.8,Cash,1,2025
379,Samsung,Samsung Model 12,UAE,256GB,White,1000,6,6000,4.3,Debit Card,8,2025
380,Realme,Realme Model 19,Australia,512GB,Silver,490,17,8330,3.8,Credit Card,7,2025
381,Realme,Realme Model 8,France,512GB,Blue,666,3,1998,3.0,Cash,11,2025
382,Samsung,Samsung Model 17,Germany,128GB,Gold,1123,2,2246,3.2,Installments,9,2025
383,Xiaomi,Xiaomi Model 4,Australia,256GB,Silver,1075,16,17200,3.6,Online Payment,2,2025
384,Apple,Apple Model 2,India,64GB,Gold,1334,10,13340,4.5,Installments,4,2025
385,Huawei,Huawei Model 5,UK,256GB,Silver,384,14,5376,4.0,Debit Card,2,2025
386,Vivo,Vivo Model 14,UAE,128GB,Silver,1280,1,1280,3.5,Installments,10,2025
387,Xiaomi,Xiaomi Model 1,Germany,256GB,Silver,532,3,1596,4.8,Cash,1,2025
388,Huawei,Huawei Model 2,Canada,256GB,Blue,789,6,4734,4.0,Installments,7,2025
389,Oppo,Oppo Model 4,USA,64GB,Blue,1259,19,23921,3.9,Online Payment,11,2025
390,Samsung,Samsung Model 7,Australia,256GB,Green,1347,14,18858,4.3,Debit Card,3,2025
391,Vivo,Vivo Model 16,UAE,64GB,Gold,746,19,14174,4.7,Credit Card,11,2025
392,Samsung,Samsung Model 5,UK,128GB,Gold,1000,9,9000,4.7,Online Payment,8,2025
393,Motorola,Motorola Model 18,Pakistan,256GB,Blue,507,4,2028,4.2,Online Payment,11,2025
394,Motorola,Motorola Model 8,UAE,128GB,Blue,1273,20,25460,3.0,Cash,3,2025
395,Samsung,Samsung Model 7,Canada,256GB,Blue,595,1,595,4.8,Installments,7,2025
396,Vivo,Vivo Model 14,India,512GB,Gold,557,6,3342,3.2,Installments,11,2025
397,Xiaomi,Xiaomi Model 19,UK,64GB,White,1449,9,13041,3.8,Installments,7,2025
398,Xiaomi,Xiaomi Model 3,UAE,256GB,Blue,1148,18,20664,4.9,Debit Card,3,2025
399,Realme,Realme Model 4,Australia,256GB,Green,764,16,12224,4.0,Installments,8,2025
400,Apple,Apple Model 12,Pakistan,64GB,Silver,874,2,1748,4.1,Debit Card,7,2025
401,Apple,Apple Model 16,Saudi Arabia,64GB,Black,1481,9,13329,3.5,Credit Card,7,2025
402,Oppo,Oppo Model 14,UK,64GB,Gold,569,9,5121,4.5,Debit Card,7,2025
403,Apple,Apple Model 11,Pakistan,64GB,Silver,529,18,9522,3.2,Credit Card,1,2025
404,Google,Google Model 2,UAE,512GB,Silver,455,10,4550,4.0,Online Payment,11,2025
405,Realme,Realme Model 18,Germany,128GB,Green,547,4,2188,4.3,Debit Card,7,2025
406,Vivo,Vivo Model 19,Pakistan,512GB,Silver,820,1,820,4.4,Cash,10,2025
407,Realme,Realme Model 7,Germany,64GB,Silver,328,10,3280,3.8,Debit Card,12,2025
408,Huawei,Huawei Model 5,UK,128GB,Blue,713,15,10695,4.8,Debit Card,2,2025
409,Google,Google Model 14,Germany,64GB,Black,1307,16,20912,4.6,Credit Card,11,2025
410,Realme,Realme Model 17,UK,128GB,Green,1227,6,7362,3.5,Credit Card,8,2025
411,Xiaomi,Xiaomi Model 17,UK,64GB,Gold,648,19,12312,4.4,Credit Card,4,2025
412,Motorola,Motorola Model 7,UK,128GB,Gold,574,5,2870,4.8,Debit Card,9,2025
413,Apple,Apple Model 14,Germany,128GB,Gold,672,11,7392,4.9,Online Payment,6,2025
414,Motorola,Motorola Model 11,Australia,64GB,Green,572,3,1716,4.0,Cash,11,2025
415,Samsung,Samsung Model 16,Pakistan,64GB,White,852,7,5964,5.0,Online Payment,6,2025
416,Apple,Apple Model 10,UAE,128GB,Silver,1117,18,20106,4.4,Online Payment,12,2025
417,Oppo,Oppo Model 9,Saudi Arabia,128GB,Gold,1378,20,27560,4.0,Credit Card,9,2025
418,Samsung,Samsung Model 18,Australia,128GB,White,518,8,4144,4.7,Debit Card,10,2025
419,Google,Google Model 18,Pakistan,512GB,Black,500,8,4000,3.7,Installments,10,2025
420,Oppo,Oppo Model 9,Germany,128GB,Gold,1151,15,17265,3.9,Credit Card,1,2025
421,Google,Google Model 1,USA,512GB,White,767,12,9204,5.0,Cash,12,2025
422,Vivo,Vivo Model 7,France,512GB,Green,1002,18,18036,4.1,Credit Card,10,2025
423,Vivo,Vivo Model 2,Australia,256GB,Black,712,2,1424,3.1,Installments,11,2025
424,Motorola,Motorola Model 13,Saudi Arabia,512GB,Green,573,9,5157,4.6,Credit Card,12,2025
425,Huawei,Huawei Model 14,Pakistan,64GB,Green,784,13,10192,3.2,Online Payment,1,2025
426,Oppo,Oppo Model 9,Saudi Arabia,512GB,Blue,1130,16,18080,3.1,Debit Card,7,2025
427,Oppo,Oppo Model 2,Australia,512GB,Blue,1490,9,13410,4.5,Cash,3,2025
428,Realme,Realme Model 11,Saudi Arabia,256GB,Gold,1084,13,14092,4.2,Credit Card,11,2025
429,Samsung,Samsung Model 18,Australia,256GB,White,1183,7,8281,4.4,Debit Card,10,2025
430,Xiaomi,Xiaomi Model 6,India,64GB,Black,986,15,14790,4.4,Cash,4,2025
431,Oppo,Oppo Model 1,Australia,512GB,Gold,1225,16,19600,4.4,Cash,10,2025
432,Oppo,Oppo Model 7,UK,512GB,Silver,336,20,6720,4.8,Cash,8,2025
433,Apple,Apple Model 14,Canada,256GB,Gold,922,11,10142,3.4,Credit Card,11,2025
434,Vivo,Vivo Model 20,Canada,512GB,White,1003,5,5015,3.9,Cash,12,2025
435,Samsung,Samsung Model 7,USA,256GB,White,911,18,16398,4.1,Installments,6,2025
436,Apple,Apple Model 4,USA,64GB,Gold,1333,5,6665,4.0,Cash,11,2025
437,Apple,Apple Model 3,Australia,512GB,Gold,819,13,10647,3.9,Debit Card,1,2025
438,Xiaomi,Xiaomi Model 18,UAE,64GB,Silver,1460,9,13140,4.2,Installments,3,2025
439,Realme,Realme Model 5,USA,64GB,Silver,327,11,3597,3.4,Online Payment,11,2025
440,Huawei,Huawei Model 5,USA,256GB,Silver,584,13,7592,4.4,Debit Card,10,2025
441,Vivo,Vivo Model 18,India,512GB,Green,1312,1,1312,3.2,Credit Card,12,2025
442,OnePlus,OnePlus Model 6,Australia,256GB,Gold,350,2,700,4.4,Credit Card,7,2025
443,Vivo,Vivo Model 15,USA,128GB,Silver,688,12,8256,3.3,Credit Card,8,2025
444,OnePlus,OnePlus Model 6,Saudi Arabia,64GB,Gold,1466,8,11728,4.6,Cash,12,2025
445,Xiaomi,Xiaomi Model 7,Pakistan,128GB,Blue,910,10,9100,4.4,Cash,8,2025
446,Oppo,Oppo Model 13,USA,128GB,Blue,663,3,1989,4.8,Online Payment,11,2025
447,Google,Google Model 8,USA,512GB,Black,846,8,6768,3.9,Cash,9,2025
448,Xiaomi,Xiaomi Model 3,UK,512GB,Blue,1109,16,17744,4.1,Credit Card,8,2025
449,Vivo,Vivo Model 11,Canada,256GB,Silver,475,2,950,3.4,Credit Card,4,2025
450,Motorola,Motorola Model 7,UAE,512GB,Silver,503,8,4024,4.9,Debit Card,5,2025
451,Apple,Apple Model 2,USA,256GB,Gold,658,8,5264,4.0,Cash,9,2025
452,Google,Google Model 18,Australia,64GB,Gold,1149,9,10341,3.4,Online Payment,8,2025
453,Vivo,Vivo Model 6,France,512GB,Silver,474,17,8058,3.5,Cash,10,2025
454,Vivo,Vivo Model 3,France,64GB,Gold,1261,3,3783,4.9,Cash,11,2025
455,Google,Google Model 19,France,128GB,White,739,8,5912,4.5,Credit Card,10,2025
456,Motorola,Motorola Model 13,USA,256GB,Black,1266,11,13926,3.7,Online Payment,9,2025
457,Motorola,Motorola Model 15,UK,64GB,Silver,538,3,1614,4.4,Online Payment,5,2025
458,Samsung,Samsung Model 17,USA,64GB,Green,1372,7,9604,3.9,Credit Card,4,2025
459,Oppo,Oppo Model 20,UAE,128GB,White,1015,4,4060,3.8,Online Payment,3,2025
460,Samsung,Samsung Model 9,France,128GB,Gold,1338,13,17394,3.9,Cash,10,2025
461,Motorola,Motorola Model 12,Saudi Arabia,128GB,Silver,561,7,3927,3.8,Cash,7,2025
462,Oppo,Oppo Model 5,UK,64GB,Green,772,14,10808,4.5,Cash,3,2025
463,Samsung,Samsung Model 9,Canada,128GB,White,766,4,3064,3.8,Installments,1,2025
464,Apple,Apple Model 6,Canada,512GB,Black,1288,14,18032,3.2,Installments,1,2025
465,Realme,Realme Model 13,France,128GB,Gold,473,12,5676,4.0,Credit Card,8,2025
466,Samsung,Samsung Model 1,Pakistan,128GB,Green,987,7,6909,4.9,Online Payment,7,2025
467,Google,Google Model 19,USA,128GB,Green,1148,10,11480,5.0,Online Payment,11,2025
468,Realme,Realme Model 20,Germany,256GB,White,1024,2,2048,4.3,Debit Card,10,2025
469,Apple,Apple Model 1,France,512GB,White,1342,11,14762,3.2,Credit Card,5,2025
470,Huawei,Huawei Model 13,USA,64GB,White,592,18,10656,3.6,Installments,9,2025
471,Oppo,Oppo Model 11,Australia,256GB,Black,690,15,10350,3.6,Installments,9,2025
472,Oppo,Oppo Model 17,France,64GB,White,1439,12,17268,4.3,Installments,10,2025
473,Xiaomi,Xiaomi Model 16,Canada,512GB,Blue,768,9,6912,4.7,Cash,8,2025
474,Huawei,Huawei Model 11,Canada,512GB,Black,1475,7,10325,4.2,Installments,4,2025
475,Huawei,Huawei Model 11,India,256GB,Silver,413,13,5369,4.6,Debit Card,12,2025
476,Oppo,Oppo Model 19,Canada,64GB,Gold,506,5,2530,3.6,Online Payment,3,2025
477,Samsung,Samsung Model 11,France,512GB,Black,910,7,6370,3.8,Cash,7,2025
478,Motorola,Motorola Model 3,USA,128GB,Black,1022,17,17374,3.1,Cash,3,2025
479,Vivo,Vivo Model 8,UK,256GB,Black,729,6,4374,4.4,Online Payment,5,2025
480,Huawei,Huawei Model 13,USA,64GB,Gold,496,18,8928,4.2,Debit Card,11,2025
481,Motorola,Motorola Model 10,France,256GB,Gold,709,5,3545,5.0,Debit Card,1,2025
482,Motorola,Motorola Model 20,India,64GB,Silver,1104,8,8832,4.8,Debit Card,10,2025
483,Vivo,Vivo Model 19,USA,256GB,Silver,1058,11,11638,4.5,Debit Card,4,2025
484,Xiaomi,Xiaomi Model 8,UAE,128GB,Black,544,19,10336,4.7,Debit Card,8,2025
485,Motorola,Motorola Model 8,India,512GB,Green,529,17,8993,4.1,Debit Card,10,2025
486,Oppo,Oppo Model 15,USA,128GB,Black,433,10,4330,4.1,Installments,6,2025
487,Huawei,Huawei Model 11,Canada,512GB,Green,910,3,2730,3.8,Cash,3,2025
488,Realme,Realme Model 6,UAE,512GB,White,655,16,10480,3.5,Online Payment,6,2025
489,Xiaomi,Xiaomi Model 20,Canada,256GB,Silver,381,17,6477,3.2,Debit Card,6,2025
490,Oppo,Oppo Model 12,Pakistan,64GB,Green,681,2,1362,3.2,Cash,5,2025
491,Motorola,Motorola Model 20,Canada,512GB,Black,670,13,8710,3.5,Online Payment,5,2025
492,Google,Google Model 7,USA,64GB,Green,531,14,7434,4.0,Credit Card,9,2025
493,Vivo,Vivo Model 12,USA,512GB,White,1488,6,8928,4.0,Debit Card,6,2025
494,Vivo,Vivo Model 20,Germany,64GB,Blue,1483,17,25211,4.3,Debit Card,6,2025
495,Realme,Realme Model 14,Australia,128GB,Gold,952,3,2856,3.8,Credit Card,4,2025
496,OnePlus,OnePlus Model 5,UK,128GB,Blue,371,10,3710,3.5,Debit Card,6,2025
497,Xiaomi,Xiaomi Model 4,Canada,128GB,Gold,414,8,3312,5.0,Installments,7,2025
498,Vivo,Vivo Model 9,Pakistan,256GB,Blue,314,17,5338,4.6,Cash,7,2025
499,Samsung,Samsung Model 19,France,128GB,Gold,342,1,342,4.5,Cash,6,2025
500,Xiaomi,Xiaomi Model 14,UK,64GB,Gold,1457,4,5828,3.2,Installments,9,2025
