col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Clothing,94,645,Sports,841,498,Clothing,959,254,Sports,72,387,Sports,173,125,Books,857,962,Clothing,86,632,Books,814,299,Clothing,721,162,Sports,945,18,Home,572,754,Clothing,32,529,Electronics,98,742,Electronics,959,109,Clothing,8,569,Electronics,454,464,Sports,195
Clothing,373,283,Sports,501,911,Clothing,960,553,Sports,213,86,Home,102,720,Home,145,583,Electronics,84,782,Electronics,89,363,Home,481,604,Electronics,249,119,Electronics,142,282,Electronics,777,523,Home,672,535,Books,520,255,Sports,491,446,Home,904,727,Clothing,547
Clothing,339,505,Electronics,348,332,Home,782,493,Books,72,932,Books,968,992,Books,705,884,Home,243,183,Books,893,904,Home,428,126,Electronics,467,145,Electronics,997,260,Home,8,336,Sports,698,699,Clothing,223,559,Electronics,610,766,Home,390,977,Sports,381
Books,437,198,Clothing,272,296,Books,894,665,Home,810,945,Sports,585,419,Electronics,120,857,Books,288,229,Clothing,762,886,Electronics,735,954,Clothing,639,239,Home,605,55,Books,59,433,Clothing,222,812,Sports,686,889,Electronics,458,571,Books,320,490,Clothing,495
Books,336,958,Books,331,236,Sports,621,571,Electronics,902,712,Sports,489,100,Sports,371,810,Electronics,568,929,Home,763,816,Home,270,697,Home,896,471,Home,455,648,Books,460,115,Electronics,374,300,Clothing,530,364,Books,339,680,Clothing,268,399,Books,442
Clothing,664,32,Electronics,610,681,Home,986,205,Clothing,823,87,Electronics,958,705,Electronics,425,228,Sports,983,622,Home,528,512,Sports,27,419,Sports,324,715,Electronics,513,647,Sports,540,755,Electronics,390,956,Sports,201,848,Books,59,625,Electronics,665,726,Sports,230
Home,492,648,Sports,921,7,Clothing,750,802,Home,978,328,Books,46,764,Books,823,569,Sports,663,133,Home,749,836,Sports,333,698,Electronics,765,943,Books,308,535,Books,115,202,Home,301,349,Books,963,866,Books,519,293,Electronics,97,87,Home,282
Electronics,917,760,Sports,744,534,Books,890,167,Home,262,953,Clothing,417,327,Home,938,85,Clothing,834,888,Electronics,575,639,Clothing,888,321,Sports,221,116,Books,461,350,Sports,462,221,Electronics,668,959,Clothing,853,964,Clothing,277,129,Home,946,938,Sports,875
Electronics,868,871,Electronics,887,72,Clothing,819,327,Books,277,857,Home,933,434,Home,551,870,Books,621,134,Books,167,399,Clothing,924,550,Electronics,980,832,Home,914,682,Sports,978,695,Home,399,538,Home,61,462,Electronics,961,557,Home,721,81,Home,975
Home,40,341,Sports,569,500,Home,369,884,Home,428,739,Clothing,188,625,Books,624,233,Sports,835,110,Clothing,284,272,Home,518,401,Sports,528,61,Books,84,496,Books,236,700,Clothing,401,860,Home,49,637,Books,72,989,Home,15,757,Electronics,901
Clothing,359,658,Electronics,661,618,Electronics,667,726,Books,760,960,Electronics,631,40,Home,426,77,Clothing,481,941,Home,244,296,Clothing,119,414,Clothing,851,375,Home,801,934,Electronics,472,841,Books,187,726,Home,606,779,Sports,832,834,Books,766,546,Clothing,913
Books,574,334,Electronics,389,139,Clothing,168,225,Books,885,623,Home,305,368,Clothing,746,602,Books,133,855,Electronics,57,431,Home,37,131,Clothing,945,415,Clothing,204,13,Home,717,844,Sports,741,933,Home,613,525,Electronics,285,910,Books,477,165,Clothing,698
Electronics,254,143,Books,971,386,Books,68,430,Clothing,432,139,Sports,582,843,Sports,273,599,Sports,919,271,Clothing,572,243,Books,547,221,Electronics,981,994,Electronics,390,347,Electronics,527,921,Sports,423,530,Clothing,87,661,Electronics,442,755,Sports,847,820,Sports,964
Sports,966,746,Electronics,747,542,Sports,777,806,Sports,87,809,Books,145,523,Books,172,141,Home,895,111,Sports,982,754,Electronics,558,660,Sports,111,428,Electronics,749,946,Electronics,502,312,Home,789,622,Electronics,489,575,Sports,695,63,Electronics,135,610,Sports,65
Sports,581,410,Sports,137,324,Electronics,952,479,Home,932,235,Books,246,973,Sports,401,164,Home,563,738,Sports,898,65,Sports,646,858,Books,119,488,Sports,452,372,Sports,639,871,Sports,491,18,Sports,652,129,Electronics,710,134,Electronics,55,220,Sports,999
Home,398,949,Home,779,949,Clothing,987,109,Books,210,774,Sports,791,41,Books,119,733,Electronics,665,317,Home,77,799,Books,798,504,Books,967,173,Electronics,994,997,Home,645,201,Home,797,63,Home,695,631,Clothing,792,375,Books,192,431,Home,279
Clothing,757,44,Books,741,601,Clothing,747,417,Books,893,874,Clothing,677,4,Sports,412,905,Home,24,437,Electronics,702,337,Electronics,894,155,Home,404,652,Electronics,869,942,Home,362,429,Books,282,367,Home,82,357,Home,63,807,Books,289,813,Clothing,699
Electronics,877,32,Sports,361,917,Books,551,373,Sports,219,813,Clothing,66,473,Electronics,281,596,Home,798,181,Clothing,821,574,Sports,747,873,Books,444,14,Sports,844,307,Sports,608,452,Home,820,401,Clothing,795,548,Sports,665,459,Clothing,113,478,Home,221
Clothing,170,743,Sports,833,665,Electronics,655,756,Sports,941,721,Sports,338,3,Books,914,469,Books,307,313,Books,609,348,Books,211,447,Clothing,888,916,Home,27,409,Sports,557,7,Sports,838,638,Electronics,696,473,Sports,249,274,Sports,749,301,Electronics,14
Electronics,690,28,Books,959,73,Electronics,345,278,Books,643,228,Sports,486,376,Home,423,937,Clothing,30,579,Books,898,786,Home,950,969,Books,477,705,Home,442,721,Clothing,327,165,Sports,934,581,Clothing,504,322,Sports,868,168,Electronics,223,958,Home,196
Home,701,423,Books,282,840,Electronics,530,411,Home,955,697,Books,348,842,Sports,351,584,Home,72,350,Clothing,458,940,Books,918,16,Home,665,759,Books,105,587,Home,620,678,Books,988,529,Books,447,947,Sports,353,5,Books,176,510,Electronics,19
Home,511,491,Sports,202,389,Clothing,52,191,Home,250,82,Clothing,526,197,Electronics,360,255,Books,430,336,Sports,110,301,Electronics,380,330,Sports,38,462,Sports,333,725,Books,154,683,Home,635,82,Electronics,990,976,Home,778,497,Sports,795,678,Sports,792
Sports,260,160,Home,744,238,Electronics,445,667,Home,780,673,Home,767,844,Electronics,978,538,Home,625,270,Home,612,9,Sports,549,288,Electronics,613,57,Clothing,806,905,Sports,599,126,Books,430,234,Sports,908,59,Electronics,159,307,Home,388,611,Sports,25
Clothing,584,845,Clothing,531,988,Clothing,734,21,Sports,84,189,Home,214,162,Electronics,497,550,Sports,740,533,Books,201,751,Books,748,330,Sports,674,654,Clothing,168,129,Books,684,289,Electronics,812,960,Clothing,265,371,Books,323,236,Books,851,808,Sports,893
Sports,984,207,Sports,16,322,Clothing,805,949,Home,19,18,Electronics,897,588,Home,367,603,Books,697,450,Electronics,980,410,Books,654,896,Electronics,899,689,Electronics,959,477,Home,731,689,Clothing,736,279,Clothing,793,600,Books,275,423,Electronics,857,77,Clothing,452
Clothing,459,18,Books,568,341,Electronics,592,675,Home,535,7,Electronics,619,565,Electronics,204,182,Clothing,413,561,Electronics,792,604,Sports,554,394,Clothing,982,678,Sports,566,419,Electronics,68,579,Books,182,789,Electronics,253,727,Home,168,310,Clothing,928,404,Clothing,878
Sports,529,103,Electronics,869,763,Home,693,250,Home,380,285,Electronics,810,294,Sports,39,599,Electronics,213,276,Electronics,743,1,Electronics,774,444,Clothing,420,917,Sports,392,329,Home,714,195,Home,80,810,Clothing,533,286,Sports,216,853,Clothing,766,793,Clothing,85
Books,882,582,Electronics,114,305,Sports,140,559,Sports,389,197,Clothing,367,463,Home,945,479,Clothing,976,892,Electronics,203,772,Home,770,903,Electronics,974,704,Home,247,180,Electronics,191,114,Home,65,12,Electronics,231,92,Electronics,930,966,Electronics,306,729,Sports,348
Books,341,631,Books,68,8,Sports,721,562,Electronics,563,400,Home,937,341,Books,975,398,Electronics,758,146,Clothing,138,854,Clothing,472,869,Home,561,113,Electronics,217,420,Books,605,271,Sports,6,95,Sports,50,300,Books,610,952,Books,147,277,Books,98
Books,57,651,Books,590,994,Home,409,375,Electronics,915,735,Clothing,167,759,Home,994,401,Home,62,361,Clothing,24,952,Clothing,689,245,Home,733,364,Clothing,173,430,Books,707,616,Sports,245,148,Clothing,136,17,Home,906,787,Sports,56,839,Electronics,834
Books,218,672,Clothing,30,983,Electronics,335,650,Home,509,965,Sports,172,4,Books,421,244,Books,599,564,Clothing,399,518,Sports,290,853,Electronics,269,416,Clothing,810,338,Books,269,767,Books,646,773,Clothing,263,891,Books,634,505,Electronics,755,820,Electronics,97
Electronics,619,232,Books,519,207,Clothing,281,623,Electronics,268,74,Books,968,715,Books,14,62,Clothing,29,595,Clothing,343,515,Sports,212,180,Books,808,800,Electronics,987,165,Sports,121,437,Books,123,567,Electronics,788,710,Books,941,499,Home,746,465,Home,691
Books,816,660,Electronics,908,411,Books,405,284,Home,92,413,Electronics,219,378,Books,323,712,Sports,677,273,Books,133,155,Books,223,786,Home,578,184,Sports,380,346,Books,719,793,Clothing,332,77,Clothing,169,994,Clothing,270,800,Sports,631,646,Clothing,183
Home,940,865,Home,664,258,Home,122,744,Sports,697,413,Sports,330,586,Books,309,190,Clothing,346,334,Home,296,359,Sports,882,452,Home,111,903,Home,161,26,Electronics,619,582,Books,568,973,Home,686,7,Sports,721,234,Clothing,117,453,Electronics,680
Home,685,424,Books,999,796,Sports,723,805,Home,421,16,Sports,418,967,Home,255,703,Electronics,493,269,Books,938,198,Home,401,965,Electronics,652,780,Sports,560,722,Clothing,7,923,Clothing,288,879,Books,658,508,Electronics,883,945,Books,626,615,Clothing,324
Electronics,731,904,Clothing,875,651,Sports,856,681,Clothing,290,260,Books,950,841,Clothing,392,138,Home,600,27,Home,433,475,Home,64,145,Electronics,133,959,Electronics,279,931,Sports,299,264,Clothing,119,162,Electronics,212,769,Sports,359,442,Sports,803,355,Clothing,537
Books,464,755,Home,22,46,Clothing,647,993,Books,762,65,Home,174,786,Clothing,542,143,Books,125,518,Electronics,117,721,Home,900,563,Electronics,557,909,Electronics,223,179,Books,304,958,Books,595,771,Electronics,793,301,Home,782,192,Clothing,240,876,Books,396
Books,247,547,Clothing,431,126,Sports,460,701,Sports,80,72,Home,289,303,Electronics,239,698,Home,552,675,Books,783,675,Electronics,43,540,Books,463,567,Books,351,835,Clothing,580,501,Clothing,499,638,Home,849,818,Books,730,265,Sports,74,645,Electronics,381
Books,730,837,Home,30,21,Sports,689,563,Clothing,319,988,Sports,752,411,Sports,101,735,Sports,183,227,Books,65,597,Clothing,667,114,Home,441,127,Clothing,637,372,Books,812,975,Clothing,655,867,Books,117,174,Electronics,463,9,Books,512,232,Sports,764
Sports,373,894,Books,956,170,Clothing,39,520,Clothing,885,641,Books,571,107,Sports,67,407,Electronics,635,914,Sports,426,274,Clothing,321,891,Clothing,622,550,Sports,98,697,Books,514,612,Clothing,542,245,Electronics,186,590,Home,234,441,Electronics,512,975,Books,302
Clothing,417,867,Electronics,679,544,Electronics,75,741,Books,644,506,Home,165,284,Sports,210,802,Electronics,538,290,Home,258,801,Clothing,279,560,Electronics,960,861,Sports,460,158,Clothing,485,626,Electronics,903,88,Books,626,286,Clothing,205,188,Books,351,451,Sports,245
Sports,31,239,Home,660,416,Sports,865,882,Clothing,438,732,Electronics,520,697,Electronics,381,151,Electronics,506,164,Electronics,549,330,Sports,586,349,Electronics,794,342,Electronics,679,785,Sports,468,417,Clothing,924,717,Sports,982,62,Sports,341,743,Home,460,888,Clothing,362
Clothing,368,334,Sports,410,455,Electronics,561,442,Books,879,131,Clothing,926,992,Sports,453,213,Home,667,406,Clothing,408,468,Home,217,259,Sports,14,571,Sports,578,736,Electronics,276,736,Sports,513,426,Books,971,306,Electronics,76,522,Books,119,908,Home,728
Books,559,149,Clothing,49,662,Books,217,745,Home,234,576,Books,20,586,Home,513,202,Sports,459,364,Electronics,268,844,Home,151,992,Home,907,233,Clothing,66,524,Electronics,836,202,Electronics,44,436,Sports,432,622,Books,700,765,Clothing,992,253,Electronics,145
Books,646,623,Home,325,206,Electronics,246,445,Sports,310,754,Sports,705,738,Clothing,635,790,Clothing,51,580,Home,720,176,Home,150,270,Books,55,526,Electronics,79,41,Home,525,453,Sports,314,537,Sports,693,817,Clothing,132,380,Clothing,375,483,Electronics,517
Sports,108,408,Clothing,488,333,Clothing,743,417,Sports,6,66,Clothing,631,759,Books,976,170,Electronics,731,575,Books,164,672,Electronics,965,223,Clothing,153,43,Sports,356,592,Home,328,852,Clothing,268,665,Clothing,660,971,Home,863,820,Books,798,712,Sports,826
Sports,584,17,Electronics,298,21,Clothing,418,531,Sports,391,601,Home,561,389,Sports,342,507,Electronics,366,754,Electronics,523,759,Home,608,874,Sports,179,495,Sports,800,503,Electronics,465,728,Clothing,834,890,Electronics,534,355,Clothing,688,392,Home,566,556,Electronics,31
Clothing,839,914,Clothing,774,918,Clothing,767,542,Books,802,825,Home,455,404,Electronics,383,669,Electronics,119,553,Electronics,300,177,Clothing,453,96,Sports,935,13,Sports,725,554,Books,878,624,Electronics,842,700,Electronics,97,577,Sports,564,151,Books,218,717,Electronics,821
Home,418,226,Clothing,181,802,Sports,203,462,Books,68,357,Books,255,823,Electronics,932,945,Electronics,278,477,Clothing,489,727,Home,660,83,Electronics,568,880,Clothing,278,888,Clothing,954,129,Home,546,640,Books,401,345,Sports,336,527,Clothing,116,20,Sports,522
Clothing,620,652,Sports,802,650,Home,656,142,Clothing,911,459,Clothing,826,94,Home,229,145,Sports,833,312,Sports,14,177,Books,585,528,Electronics,117,704,Clothing,739,567,Books,777,338,Electronics,899,693,Clothing,966,162,Clothing,53,955,Home,929,461,Sports,644
Sports,821,656,Clothing,122,65,Sports,864,804,Sports,525,878,Home,843,545,Books,185,924,Books,678,288,Electronics,285,751,Electronics,688,487,Home,270,645,Electronics,417,305,Clothing,596,882,Home,280,992,Electronics,157,496,Clothing,247,613,Books,723,251,Clothing,772
Sports,398,260,Home,124,577,Electronics,911,903,Clothing,713,274,Books,103,192,Books,875,936,Electronics,731,973,Books,612,469,Books,717,134,Clothing,392,574,Home,123,560,Clothing,357,115,Books,662,735,Home,91,33,Sports,257,781,Clothing,660,898,Books,779
Electronics,272,729,Clothing,453,88,Books,808,116,Home,805,106,Clothing,958,659,Electronics,430,890,Books,513,984,Clothing,706,155,Sports,81,670,Home,65,49,Sports,789,311,Electronics,136,985,Clothing,904,279,Sports,943,529,Clothing,806,3,Home,117,212,Electronics,202
Sports,683,674,Books,266,835,Books,975,107,Clothing,977,39,Sports,135,770,Sports,638,23,Home,527,144,Sports,511,272,Home,315,502,Sports,194,630,Clothing,321,726,Home,919,273,Home,593,791,Home,180,408,Electronics,227,989,Electronics,203,209,Electronics,185
Electronics,116,604,Clothing,28,479,Books,519,546,Sports,422,488,Sports,765,722,Home,812,428,Home,267,321,Clothing,547,549,Electronics,145,244,Electronics,216,270,Home,357,643,Clothing,70,38,Electronics,876,192,Home,919,94,Home,348,763,Home,745,288,Sports,73
Home,841,174,Books,259,43,Books,613,178,Books,718,636,Home,420,846,Home,972,769,Clothing,952,346,Home,575,274,Electronics,697,111,Books,177,552,Books,921,540,Home,905,290,Clothing,283,979,Books,979,436,Sports,958,206,Sports,512,123,Home,375
Clothing,586,843,Clothing,77,883,Home,296,32,Clothing,229,121,Books,724,453,Books,485,810,Electronics,678,400,Electronics,160,181,Home,598,52,Sports,735,195,Sports,880,963,Electronics,89,455,Sports,326,901,Home,416,254,Sports,588,611,Books,62,124,Home,30
Clothing,256,205,Clothing,432,937,Books,450,298,Clothing,927,596,Electronics,97,189,Home,778,578,Home,349,813,Home,500,6,Home,849,425,Sports,848,510,Electronics,942,735,Sports,251,175,Sports,675,920,Sports,466,466,Clothing,632,501,Electronics,798,440,Sports,715
Electronics,81,415,Home,879,141,Sports,838,161,Books,962,209,Home,751,58,Clothing,483,273,Sports,694,304,Clothing,950,755,Electronics,320,375,Clothing,347,770,Sports,198,980,Clothing,321,363,Home,800,517,Books,845,321,Books,351,697,Books,604,401,Books,992
Clothing,780,508,Books,706,374,Books,228,887,Books,366,775,Electronics,571,658,Books,904,98,Sports,222,43,Home,298,113,Sports,814,63,Clothing,619,185,Home,837,52,Sports,682,189,Sports,7,672,Clothing,914,592,Sports,487,28,Books,96,346,Clothing,423
Sports,128,153,Books,894,516,Clothing,103,782,Sports,467,951,Clothing,930,685,Electronics,568,781,Books,535,220,Electronics,216,623,Home,112,437,Books,189,784,Home,478,466,Electronics,423,514,Sports,89,659,Clothing,245,757,Sports,674,66,Clothing,322,367,Sports,458
Books,838,103,Sports,35,500,Electronics,998,985,Home,723,112,Books,764,243,Home,401,903,Sports,106,404,Sports,731,146,Electronics,38,464,Home,977,872,Electronics,499,946,Clothing,400,437,Books,237,850,Home,806,999,Clothing,416,753,Home,269,37,Clothing,859
Electronics,915,714,Clothing,436,279,Sports,92,412,Sports,828,401,Home,471,79,Books,568,538,Electronics,602,32,Clothing,598,934,Electronics,388,643,Books,237,962,Home,166,774,Sports,11,878,Clothing,777,230,Sports,652,283,Books,20,207,Sports,751,472,Electronics,832
Clothing,235,792,Clothing,114,326,Home,790,626,Clothing,269,580,Sports,760,663,Sports,843,442,Home,421,199,Home,858,835,Sports,876,109,Home,739,321,Home,136,651,Electronics,94,554,Clothing,226,643,Electronics,638,503,Electronics,713,97,Sports,344,210,Home,368
Electronics,553,65,Home,62,418,Sports,357,423,Sports,917,804,Clothing,575,306,Sports,729,860,Home,947,966,Home,249,787,Electronics,32,166,Electronics,287,412,Books,433,734,Clothing,633,894,Home,672,823,Sports,122,326,Home,480,680,Home,725,799,Home,929
Electronics,181,117,Sports,52,553,Clothing,699,94,Sports,95,892,Clothing,792,644,Clothing,240,583,Home,317,787,Home,444,161,Sports,561,223,Electronics,670,118,Electronics,540,482,Clothing,174,541,Sports,776,59,Electronics,929,763,Home,45,547,Home,840,343,Sports,636
Books,157,665,Sports,116,914,Books,901,543,Books,172,734,Clothing,189,610,Electronics,309,127,Electronics,594,392,Sports,612,822,Sports,499,547,Books,608,652,Home,44,688,Books,273,404,Electronics,697,451,Home,51,867,Sports,519,695,Clothing,781,322,Electronics,775
Sports,454,156,Home,47,888,Books,146,152,Home,796,1,Electronics,393,280,Sports,267,891,Clothing,591,337,Clothing,816,395,Clothing,543,634,Books,303,952,Books,74,222,Books,191,16,Sports,112,990,Clothing,79,832,Home,417,552,Books,638,141,Home,353
Electronics,571,676,Books,438,996,Home,267,755,Home,953,759,Electronics,919,12,Books,981,713,Books,360,211,Clothing,127,500,Sports,578,316,Home,765,746,Home,664,932,Books,163,874,Sports,332,660,Electronics,661,141,Home,957,810,Electronics,155,58,Sports,587
Clothing,857,82,Electronics,412,602,Electronics,119,900,Sports,641,291,Clothing,622,285,Home,922,729,Sports,918,494,Home,526,3,Books,33,352,Sports,142,7,Clothing,952,752,Electronics,364,871,Books,40,723,Electronics,259,835,Home,637,386,Books,704,938,Home,922
Home,761,518,Home,101,993,Books,503,462,Books,995,76,Home,48,262,Sports,312,830,Books,834,689,Clothing,339,805,Home,487,498,Electronics,899,254,Books,28,988,Electronics,581,646,Books,813,858,Electronics,398,86,Electronics,790,296,Sports,302,516,Clothing,112
Electronics,704,834,Books,279,768,Home,264,777,Books,394,401,Electronics,977,920,Sports,96,553,Books,885,147,Clothing,641,692,Home,583,738,Sports,53,165,Clothing,692,507,Home,696,911,Clothing,929,451,Home,184,896,Home,994,466,Clothing,979,319,Electronics,536
Electronics,24,67,Sports,107,929,Books,276,356,Clothing,520,592,Books,56,111,Clothing,849,871,Home,256,521,Sports,930,619,Clothing,21,224,Sports,876,200,Books,269,811,Books,638,195,Home,183,621,Electronics,946,921,Books,296,180,Clothing,699,684,Sports,636
Books,473,238,Home,983,921,Sports,715,838,Electronics,973,668,Sports,551,598,Home,626,940,Sports,567,546,Sports,828,210,Home,762,317,Clothing,792,331,Clothing,791,180,Sports,565,308,Home,331,169,Books,737,903,Clothing,956,675,Home,970,105,Sports,996
Sports,400,584,Electronics,35,308,Home,59,536,Clothing,959,800,Home,866,763,Home,249,8,Books,835,674,Electronics,129,809,Books,102,630,Electronics,299,841,Clothing,644,678,Books,500,395,Clothing,949,251,Home,16,959,Electronics,476,170,Clothing,740,185,Clothing,321
Home,948,607,Clothing,359,657,Home,347,218,Clothing,467,750,Books,390,401,Sports,352,831,Home,282,354,Sports,104,540,Sports,221,426,Books,451,992,Home,892,232,Clothing,835,173,Home,96,715,Home,348,11,Books,208,391,Sports,298,439,Electronics,648
Clothing,592,816,Home,887,307,Home,989,354,Clothing,323,951,Electronics,643,313,Home,502,263,Electronics,93,962,Sports,389,103,Sports,660,90,Clothing,515,92,Books,92,647,Clothing,490,433,Electronics,264,162,Books,475,113,Sports,474,917,Books,107,57,Sports,244
Home,134,979,Electronics,800,899,Books,665,577,Electronics,888,803,Sports,629,32,Electronics,202,838,Home,888,913,Clothing,270,36,Books,498,432,Electronics,711,230,Electronics,179,420,Electronics,94,138,Clothing,595,623,Home,628,751,Home,881,301,Sports,760,797,Clothing,215
Clothing,421,326,Electronics,2,823,Home,186,727,Books,250,896,Clothing,998,89,Electronics,467,522,Home,122,123,Electronics,475,324,Home,911,9,Electronics,10,513,Home,66,801,Home,952,840,Books,174,509,Sports,248,181,Electronics,487,321,Clothing,815,650,Books,892
Sports,213,590,Home,751,470,Sports,115,401,Books,67,531,Sports,294,381,Sports,774,155,Electronics,989,753,Sports,2,400,Books,920,710,Books,668,860,Books,881,228,Electronics,608,922,Sports,86,662,Clothing,287,574,Electronics,391,951,Home,826,890,Electronics,62
Clothing,900,67,Books,492,184,Electronics,787,100,Home,923,93,Clothing,766,949,Sports,201,852,Sports,806,650,Home,22,379,Electronics,10,445,Books,876,700,Clothing,787,494,Electronics,841,935,Home,824,698,Home,197,334,Electronics,753,312,Books,575,8,Books,655
Books,482,176,Home,880,631,Electronics,893,421,Home,786,605,Books,136,794,Electronics,615,771,Sports,50,511,Home,317,597,Sports,456,934,Sports,507,925,Home,646,208,Sports,227,314,Books,525,336,Clothing,985,443,Electronics,594,884,Electronics,894,329,Sports,861
Books,348,833,Sports,890,625,Clothing,898,306,Sports,35,499,Books,552,731,Home,525,245,Sports,151,765,Clothing,286,539,Sports,747,642,Home,393,383,Books,217,580,Home,386,207,Books,197,324,Home,879,45,Clothing,80,686,Clothing,493,628,Sports,591
Books,166,684,Electronics,272,291,Sports,362,250,Sports,381,592,Home,393,711,Clothing,505,414,Clothing,565,964,Home,395,15,Sports,766,576,Electronics,865,837,Clothing,28,504,Home,323,183,Home,339,341,Home,500,97,Home,269,169,Electronics,915,455,Sports,65
Books,937,478,Electronics,144,249,Sports,999,429,Sports,812,772,Books,847,547,Clothing,79,990,Books,551,704,Sports,143,180,Home,725,223,Clothing,834,83,Electronics,679,543,Electronics,151,57,Books,536,852,Clothing,513,4,Books,236,791,Sports,324,781,Home,990
Home,348,255,Clothing,435,324,Home,236,276,Home,610,405,Electronics,320,994,Clothing,988,224,Home,407,663,Clothing,293,593,Sports,493,551,Electronics,26,961,Books,111,280,Sports,737,322,Sports,148,18,Books,843,472,Clothing,568,754,Home,495,53,Home,789
Sports,849,63,Electronics,451,443,Clothing,442,315,Home,990,510,Electronics,734,539,Home,375,351,Clothing,860,599,Electronics,501,260,Sports,54,909,Clothing,911,247,Sports,857,861,Books,44,745,Clothing,300,54,Electronics,400,339,Sports,246,967,Books,876,167,Books,403
Clothing,398,814,Clothing,604,604,Sports,578,315,Clothing,904,625,Sports,177,904,Clothing,961,789,Books,624,841,Sports,913,188,Home,278,695,Clothing,295,292,Sports,577,857,Clothing,796,255,Clothing,967,264,Books,62,924,Sports,504,269,Electronics,383,315,Electronics,776
Clothing,583,403,Electronics,733,59,Sports,263,90,Books,639,115,Clothing,580,163,Electronics,201,852,Home,611,494,Electronics,615,938,Sports,334,670,Books,882,444,Books,662,722,Books,542,822,Books,609,49,Home,294,563,Clothing,567,582,Books,805,219,Clothing,54
Books,726,758,Electronics,566,269,Sports,51,395,Home,85,684,Sports,477,18,Home,446,460,Sports,706,392,Books,292,554,Home,883,654,Books,66,402,Electronics,780,575,Books,909,513,Books,707,340,Clothing,283,705,Home,557,32,Electronics,63,390,Home,149
Books,435,192,Home,916,318,Books,351,439,Electronics,430,574,Home,890,919,Electronics,308,291,Electronics,491,686,Books,370,693,Books,500,403,Books,489,176,Books,782,929,Electronics,732,304,Books,334,365,Home,481,186,Clothing,708,192,Electronics,305,832,Clothing,45
Electronics,577,979,Home,228,94,Sports,417,852,Clothing,723,641,Home,161,350,Home,178,308,Clothing,156,167,Clothing,52,918,Books,893,203,Sports,336,163,Electronics,290,734,Electronics,334,567,Books,788,364,Clothing,228,587,Clothing,900,135,Home,600,936,Clothing,551
Sports,221,329,Sports,545,254,Books,843,251,Electronics,555,851,Electronics,646,528,Clothing,79,402,Electronics,828,402,Clothing,65,727,Books,499,736,Electronics,36,898,Books,635,688,Books,5,154,Home,951,240,Books,15,452,Home,104,440,Sports,906,332,Books,173
Home,308,71,Books,214,687,Sports,744,577,Electronics,240,307,Home,285,671,Clothing,410,727,Sports,472,733,Electronics,80,914,Sports,543,70,Home,557,817,Home,231,7,Home,175,831,Electronics,863,86,Sports,330,141,Sports,38,861,Sports,330,171,Home,377
Clothing,991,878,Sports,648,460,Electronics,872,236,Books,302,116,Electronics,531,317,Sports,921,188,Books,451,708,Sports,316,113,Clothing,889,319,Clothing,732,784,Home,175,18,Clothing,28,964,Clothing,84,222,Books,549,832,Sports,782,458,Sports,280,963,Home,572
Electronics,798,741,Electronics,248,515,Books,13,77,Electronics,40,108,Clothing,741,377,Books,458,540,Electronics,394,273,Electronics,763,101,Electronics,605,954,Electronics,229,342,Home,688,412,Home,787,105,Sports,701,990,Sports,283,490,Electronics,417,626,Books,970,776,Books,914
Electronics,697,946,Sports,408,533,Books,394,570,Electronics,734,218,Sports,411,230,Electronics,416,590,Electronics,510,678,Home,385,934,Sports,526,93,Books,85,983,Books,463,42,Electronics,187,206,Clothing,651,336,Home,710,952,Clothing,859,946,Home,815,248,Sports,130
Clothing,719,63,Home,53,104,Home,881,100,Electronics,824,716,Home,715,382,Clothing,252,368,Books,802,326,Sports,83,715,Books,18,322,Sports,659,662,Books,124,747,Clothing,461,370,Books,552,892,Books,544,226,Sports,520,492,Home,968,920,Electronics,669
Home,466,297,Electronics,576,833,Sports,827,891,Electronics,155,657,Clothing,746,754,Home,421,200,Clothing,723,254,Electronics,254,124,Clothing,744,439,Sports,72,691,Electronics,198,584,Sports,998,229,Books,607,765,Clothing,714,378,Electronics,397,711,Electronics,978,954,Home,886
Electronics,99,245,Electronics,314,402,Clothing,806,812,Clothing,148,37,Home,9,802,Sports,738,976,Clothing,513,471,Clothing,368,255,Books,61,805,Electronics,114,636,Sports,428,789,Home,654,169,Books,160,260,Sports,757,145,Books,771,773,Home,809,770,Home,328
Electronics,242,519,Sports,374,781,Clothing,532,998,Clothing,718,988,Books,464,129,Electronics,489,826,Home,230,392,Home,137,885,Electronics,263,101,Books,525,586,Electronics,224,778,Sports,916,623,Clothing,848,476,Electronics,60,60,Books,327,73,Clothing,277,646,Electronics,42
Sports,158,393,Clothing,37,967,Clothing,213,461,Books,825,36,Home,627,73,Clothing,175,881,Home,933,696,Sports,995,324,Home,654,952,Books,725,884,Books,393,622,Books,238,801,Home,234,627,Books,654,253,Home,975,433,Books,40,73,Sports,261
Home,610,772,Books,724,333,Clothing,270,398,Books,12,925,Clothing,658,484,Sports,813,961,Sports,762,572,Sports,403,834,Home,436,286,Electronics,52,312,Clothing,74,90,Sports,869,979,Sports,464,932,Sports,772,679,Clothing,910,224,Electronics,232,468,Home,989
